Date,AAPL,AMZN,BAC,GOOGL,JPM,META,MSFT,NFLX,NVDA,TSLA
2020-12-14,118.5470199584961,157.84849548339844,25.009563446044922,86.95598602294922,103.8998031616211,272.5100402832031,205.53338623046875,52.242000579833984,13.271430015563965,213.27667236328125
2020-12-15,124.4850845336914,158.25599670410156,25.38178825378418,87.3936767578125,105.67390441894531,273.8616638183594,205.4662628173828,51.97800064086914,13.323033332824707,211.0833282470703
2020-12-16,124.41693878173828,162.04800415039062,25.452678680419922,87.20063018798828,105.9813003540039,273.98095703125,210.40785217285156,52.483001708984375,13.205365180969238,207.58999633789062
2020-12-17,125.28330993652344,161.8040008544922,25.5501651763916,86.37289428710938,105.10301971435547,272.79827880859375,210.5421905517578,53.290000915527344,13.303836822509766,218.63333129882812
2020-12-18,123.29747772216797,160.08250427246094,25.408370971679688,85.66375732421875,104.5848388671875,274.70654296875,209.74578857421875,53.44499969482422,13.234779357910156,231.6666717529297
2020-12-21,124.8257827758789,160.3090057373047,26.356645584106445,86.0776138305664,108.5107421875,271.1186828613281,213.58395385742188,52.89099884033203,13.29486083984375,216.6199951171875
2020-12-22,128.37892150878906,160.3260040283203,25.886938095092773,85.36599731445312,106.85957336425781,265.45355224609375,214.8793487548828,52.733001708984375,13.241016387939453,213.44667053222656
2020-12-23,127.48330688476562,159.2635040283203,26.631376266479492,85.76349639892578,109.8457260131836,266.46728515625,212.07749938964844,51.448001861572266,12.972765922546387,215.32666015625
2020-12-24,128.4664764404297,158.63450622558594,26.551616668701172,86.05776977539062,109.36267852783203,265.7616271972656,213.73745727539062,51.39699935913086,12.95730972290039,220.58999633789062
2020-12-28,133.06118774414062,164.197998046875,26.70227813720703,88.03284454345703,110.08284759521484,275.3028259277344,215.85809326171875,51.9119987487793,12.863823890686035,221.22999572753906
2020-12-29,131.2895050048828,166.10000610351562,26.59592628479004,87.22891998291016,109.79302215576172,275.0841979980469,215.080810546875,53.08700180053711,12.906953811645508,221.99667358398438
2020-12-30,130.17007446289062,164.29249572753906,26.5693416595459,86.1614990234375,110.10041809082031,270.2042541503906,212.7107391357422,52.45899963378906,13.10888385772705,231.5933380126953
2020-12-31,129.16741943359375,162.84649658203125,26.861799240112305,86.97483825683594,111.60225677490234,271.4863586425781,213.4208221435547,54.073001861572266,13.018391609191895,235.22332763671875
2021-01-04,125.9744644165039,159.3314971923828,26.613651275634766,85.6592788696289,110.5483169555664,267.2922058105469,208.88221740722656,52.2859992980957,13.076725006103516,243.2566680908203
2021-01-05,127.5320053100586,160.92550659179688,26.817481994628906,86.35006713867188,111.14986419677734,269.3097839355469,209.08370971679688,52.08000183105469,13.367158889770508,245.0366668701172
2021-01-06,123.23907470703125,156.91900634765625,28.49247169494629,85.49800109863281,116.36901092529297,261.69671630859375,203.66232299804688,50.04899978637695,12.57912540435791,251.9933319091797
2021-01-07,127.44437408447266,158.10800170898438,29.121700286865234,88.05170440673828,120.19046020507812,267.0934143066406,209.4579315185547,50.888999938964844,13.30657958984375,272.0133361816406
2021-01-08,128.54437255859375,159.13499450683594,28.82923698425293,89.21739196777344,120.32315826416016,265.9305725097656,210.734130859375,51.040000915527344,13.239519119262695,293.3399963378906
2021-01-11,125.55587005615234,155.7104949951172,29.307809829711914,87.15597534179688,122.118896484375,255.26632690429688,208.69029235839844,49.90999984741211,13.58330249786377,270.39666748046875
2021-01-12,125.38067626953125,156.04150390625,29.8306827545166,86.22003936767578,124.03845977783203,249.55157470703125,206.23387145996094,49.42499923706055,13.446932792663574,283.14666748046875
2021-01-13,127.41515350341797,158.29449462890625,29.65343475341797,86.7073745727539,124.15345764160156,250.09820556640625,207.5868377685547,50.77899932861328,13.493803977966309,284.8033447265625
2021-01-14,125.48773193359375,156.37350463867188,30.123146057128906,85.89698791503906,124.87883758544922,244.13497924804688,204.40113830566406,50.08599853515625,13.16323184967041,281.6666564941406
2021-01-15,123.76473999023438,155.21249389648438,29.25463104248047,85.73322296142578,122.64079284667969,249.81993103027344,204.0460968017578,49.79800033569336,12.823439598083496,275.38665771484375
2021-01-19,124.43641662597656,156.03799438476562,29.041933059692383,88.55441284179688,122.11003875732422,259.500244140625,207.6827850341797,50.176998138427734,12.988722801208496,281.51666259765625
2021-01-20,128.52488708496094,163.16900634765625,28.660856246948242,93.29856872558594,120.27889251708984,265.8411865234375,215.26315307617188,58.63399887084961,13.328265190124512,283.48333740234375
2021-01-21,133.23641967773438,165.34950256347656,28.155696868896484,93.50102996826172,119.27047729492188,271.1981201171875,215.86764526367188,57.98400115966797,13.828612327575684,281.663330078125
2021-01-22,135.37799072265625,164.6114959716797,27.96072769165039,93.91837310791016,118.35047912597656,272.81817626953125,216.8079833984375,56.516998291015625,13.674044609069824,282.21331787109375
